#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NUMBER_TESTS_3_OR_HIGHER
"AP COUNTS","2023-24","SCHOOL","707","Newton County","0295","Eastside High School","Latin: Vergil","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","707","Newton County","0295","Eastside High School","Physics 1","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","707","Newton County","0295","Eastside High School","Precalculus","77","77","53"
"AP COUNTS","2023-24","SCHOOL","707","Newton County","0295","Eastside High School","Psychology","37","37","29"
"AP COUNTS","2023-24","SCHOOL","707","Newton County","0295","Eastside High School","Statistics","26","26","12"
"AP COUNTS","2023-24","SCHOOL","707","Newton County","0295","Eastside High School","U.S. History","91","91","61"
"AP COUNTS","2023-24","SCHOOL","707","Newton County","0295","Eastside High School","World History","84","84","65"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","707","Newton County","ALL","All Schools","ALL Subjects","880","1712","781"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Biology","122","122","57"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Calculus A","45","45","TFS"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Calculus BC","15","15","TFS"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Capstone","62","62","33"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Chemistry","56","56","33"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Computer Science A","25","25","TFS"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Computer Science Principles","38","38","16"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Economics: Macro","54","54","31"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Economics: Micro","122","122","48"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Eng. Language & Comp","168","168","60"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Eng. Literature & Comp","122","122","70"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Environmental Science","43","43","10"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","European History","11","11","10"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Geography: Human","60","60","19"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Gov. & Pol. U.S.","51","51","33"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Latin: Vergil","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Music Theory","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Physics 1","11","11","TFS"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Precalculus","146","146","85"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Psychology","61","61","38"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","Statistics","36","36","15"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","U.S. History","194","194","101"
"AP COUNTS","2023-24","DISTRICT","707","Newton County","ALL","All Schools","World History","244","244","91"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","708","Oconee County","0105","North Oconee High School","ALL Subjects","555","1322","1252"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Art History","45","45","43"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Biology","35","35","35"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Calculus BC","70","70","67"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Capstone","14","14","14"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Capstone Research","16","16","13"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Chemistry","54","54","50"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Chinese Lang. & Culture","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Computer Science A","41","41","39"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Computer Science Principles","17","17","10"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Economics: Macro","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Economics: Micro","135","135","123"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Eng. Language & Comp","59","59","53"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Eng. Literature & Comp","53","53","53"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Environmental Science","59","59","41"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","European History","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Geography: Human","96","96","95"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Gov. & Pol. U.S.","97","97","97"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Japanese Lang. & Culture","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Latin: Vergil","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Physics C: Mechanics","45","45","41"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Precalculus","109","109","108"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Psychology","98","98","94"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Spanish Language","16","16","16"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","Statistics","40","40","40"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","U.S. History","97","97","97"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0105","North Oconee High School","World History","107","107","106"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","708","Oconee County","0293","Oconee County High School","ALL Subjects","526","1002","887"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Biology","43","43","40"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Calculus BC","45","45","38"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Capstone","21","21","21"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Capstone Research","17","17","10"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Chemistry","15","15","13"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Chinese Lang. & Culture","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Computer Science A","18","18","13"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Computer Science Principles","22","22","20"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Economics: Micro","66","66","61"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Eng. Language & Comp","64","64","53"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Eng. Literature & Comp","33","33","32"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Environmental Science","102","102","80"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","French Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Geography: Human","42","42","34"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Gov. & Pol. Comp","28","28","26"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Gov. & Pol. U.S.","119","119","116"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Latin: Vergil","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Physics 1","16","16","TFS"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Precalculus","62","62","62"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Psychology","50","50","45"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Spanish Language","16","16","15"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","Statistics","47","47","40"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","U.S. History","49","49","48"
"AP COUNTS","2023-24","SCHOOL","708","Oconee County","0293","Oconee County High School","World History","114","114","105"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","708","Oconee County","ALL","All Schools","ALL Subjects","1081","2324","2139"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Art History","45","45","43"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Art: Studio 2-D Design","10","10","10"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Biology","78","78","75"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Calculus BC","115","115","105"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Capstone","35","35","35"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Capstone Research","33","33","23"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Chemistry","69","69","63"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Chinese Lang. & Culture","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Computer Science A","59","59","52"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Computer Science Principles","39","39","30"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Economics: Macro","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Economics: Micro","201","201","184"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Eng. Language & Comp","123","123","106"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Eng. Literature & Comp","86","86","85"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Environmental Science","161","161","121"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","European History","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","French Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Geography: Human","138","138","129"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Gov. & Pol. Comp","28","28","26"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Gov. & Pol. U.S.","216","216","213"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Japanese Lang. & Culture","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Latin: Vergil","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Physics 1","16","16","TFS"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Physics C: Mechanics","45","45","41"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Precalculus","171","171","170"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Psychology","148","148","139"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Spanish Language","32","32","31"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","Statistics","87","87","80"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","U.S. History","146","146","145"
"AP COUNTS","2023-24","DISTRICT","708","Oconee County","ALL","All Schools","World History","221","221","211"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","709","Oglethorpe County","2050","Oglethorpe County High School","ALL Subjects","68","102","50"
"AP COUNTS","2023-24","SCHOOL","709","Oglethorpe County","2050","Oglethorpe County High School","Calculus A","14","14","TFS"
"AP COUNTS","2023-24","SCHOOL","709","Oglethorpe County","2050","Oglethorpe County High School","Economics: Micro","27","27","14"
"AP COUNTS","2023-24","SCHOOL","709","Oglethorpe County","2050","Oglethorpe County High School","Eng. Language & Comp","20","20","TFS"
"AP COUNTS","2023-24","SCHOOL","709","Oglethorpe County","2050","Oglethorpe County High School","Eng. Literature & Comp","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","709","Oglethorpe County","2050","Oglethorpe County High School","Precalculus","21","21","TFS"
"AP COUNTS","2023-24","SCHOOL","709","Oglethorpe County","2050","Oglethorpe County High School","U.S. History","13","13","10"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","709","Oglethorpe County","ALL","All Schools","ALL Subjects","68","102","50"
"AP COUNTS","2023-24","DISTRICT","709","Oglethorpe County","ALL","All Schools","Calculus A","14","14","TFS"
"AP COUNTS","2023-24","DISTRICT","709","Oglethorpe County","ALL","All Schools","Economics: Micro","27","27","14"
"AP COUNTS","2023-24","DISTRICT","709","Oglethorpe County","ALL","All Schools","Eng. Language & Comp","20","20","TFS"
"AP COUNTS","2023-24","DISTRICT","709","Oglethorpe County","ALL","All Schools","Eng. Literature & Comp","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","709","Oglethorpe County","ALL","All Schools","Precalculus","21","21","TFS"
"AP COUNTS","2023-24","DISTRICT","709","Oglethorpe County","ALL","All Schools","U.S. History","13","13","10"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","710","Paulding County","0101","Hiram High School","ALL Subjects","128","177","82"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","African American Studies","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Calculus A","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Capstone","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Capstone Research","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Computer Science Principles","20","20","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Economics: Micro","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Eng. Language & Comp","36","36","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Eng. Literature & Comp","16","16","10"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","European History","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Gov. & Pol. U.S.","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Music Theory","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Physics C: Mechanics","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Precalculus","34","34","15"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Psychology","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","U.S. History","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0101","Hiram High School","World History","13","13","TFS"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","710","Paulding County","0106","South Paulding High School","ALL Subjects","92","138","120"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0106","South Paulding High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0106","South Paulding High School","Biology","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0106","South Paulding High School","Calculus A","11","11","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0106","South Paulding High School","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0106","South Paulding High School","Economics: Micro","15","15","15"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0106","South Paulding High School","Eng. Language & Comp","25","25","18"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0106","South Paulding High School","Eng. Literature & Comp","12","12","12"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0106","South Paulding High School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0106","South Paulding High School","Gov. & Pol. U.S.","10","10","10"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0106","South Paulding High School","Psychology","15","15","12"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0106","South Paulding High School","Spanish Language","14","14","13"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0106","South Paulding High School","Statistics","10","10","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0106","South Paulding High School","U.S. History","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","710","Paulding County","0109","North Paulding High School","ALL Subjects","375","627","469"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Art History","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Biology","24","24","22"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Calculus A","17","17","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Calculus BC","14","14","12"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Chemistry","24","24","16"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Computer Science Principles","15","15","11"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Economics: Macro","39","39","28"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Eng. Language & Comp","46","46","27"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Eng. Literature & Comp","31","31","23"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Environmental Science","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","European History","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Geography: Human","75","75","63"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Gov. & Pol. U.S.","26","26","26"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Physics C: Elec & Magnetism","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Physics C: Mechanics","21","21","17"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Psychology","80","80","45"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Spanish Language","11","11","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","Statistics","17","17","11"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","U.S. History","58","58","54"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0109","North Paulding High School","World History","94","94","67"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","710","Paulding County","0292","East Paulding High School","ALL Subjects","169","247","120"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","Calculus A","17","17","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","Calculus BC","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","Chemistry","32","32","15"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","Eng. Language & Comp","29","29","11"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","Eng. Literature & Comp","28","28","16"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","Geography: Human","16","16","12"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","Physics 1","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","Precalculus","58","58","23"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","Psychology","17","17","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","Spanish Language","10","10","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","Statistics","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","U.S. History","16","16","11"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","0292","East Paulding High School","World History","11","11","TFS"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","710","Paulding County","2552","Paulding County High School","ALL Subjects","185","346","247"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Art: Studio 3-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Biology","47","47","28"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Calculus A","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Economics: Macro","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Eng. Language & Comp","52","52","32"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Eng. Literature & Comp","28","28","24"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Environmental Science","16","16","11"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","European History","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Geography: Human","30","30","21"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Gov. & Pol. U.S.","17","17","15"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Physics 1","25","25","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Physics C: Mechanics","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","Statistics","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","U.S. History","34","34","30"
"AP COUNTS","2023-24","SCHOOL","710","Paulding County","2552","Paulding County High School","World History","45","45","35"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","710","Paulding County","ALL","All Schools","ALL Subjects","949","1535","1038"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","African American Studies","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Art History","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Art: Studio 2-D Design","11","11","11"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Art: Studio 3-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Art: Studio Drawing","15","15","15"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Biology","77","77","56"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Calculus A","58","58","29"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Calculus BC","17","17","12"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Capstone","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Capstone Research","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Chemistry","69","69","42"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Computer Science Principles","35","35","20"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Economics: Macro","46","46","35"
"AP COUNTS","2023-24","DISTRICT","710","Paulding County","ALL","All Schools","Economics: Micro","24","24","20"
