School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
JEFF DAVIS MIDDLE SCHOOL,Georgia,Jeff Davis Middle School,Jeff Davis County,31539,1-Regular school,2-No,31.862449,-82.620325,Middle,6th Grade,8th Grade,684,474,464,0,474,684,†,†,†,365,319,0,5,169,95,392,0,23,684,14.52
JEFF DAVIS PRIMARY SCHOOL,Georgia,Jeff Davis Primary School,Jeff Davis County,31539,1-Regular school,2-No,31.871600,-82.609300,Elementary,Prekindergarten,2nd Grade,850,732,452,0,732,468,†,185,197,437,413,1,6,181,140,488,1,33,850,14.91
JEFFERSON ACADEMY,Georgia,Jefferson Academy,Jackson County,30549,1-Regular school,2-No,34.120500,-83.586700,Elementary,3rd Grade,5th Grade,939,270,93,45,315,939,†,†,†,480,459,2,24,86,60,716,0,51,939,15.42
JEFFERSON COUNTY HIGH SCHOOL,Georgia,Jefferson County High School,Jefferson County,30434,1-Regular school,2-No,33.100200,-82.410500,High,9th Grade,12th Grade,632,477,316,0,477,†,632,†,†,338,294,0,3,65,435,118,0,11,632,14.33
JEFFERSON COUNTY MIDDLE SCHOOL,GEORGIA,Jefferson County Middle School,Jefferson County,30823,1-Regular school,2-No,33.098045,-82.417119,Middle,6th Grade,8th Grade,444,413,236,0,413,444,†,†,†,219,225,0,0,41,285,108,0,10,444,11.59
JEFFERSON ELEMENTARY SCHOOL,Georgia,Jefferson Elementary School,Jackson County,30549,1-Regular school,2-No,34.123700,-83.586100,Elementary,Prekindergarten,2nd Grade,982,281,73,69,350,530,†,199,253,471,511,2,16,104,60,748,1,51,982,13.29
JEFFERSON HIGH SCHOOL,Georgia,Jefferson High School,Jackson County,30549,1-Regular school,2-No,34.121900,-83.581900,High,9th Grade,12th Grade,1275,278,74,78,356,†,1275,†,†,657,618,3,38,115,122,952,0,45,1275,16.43
JEFFERSON MIDDLE SCHOOL,Georgia,Jefferson Middle School,Jackson County,30549,1-Regular school,2-No,34.120200,-83.589800,Middle,6th Grade,8th Grade,973,255,93,61,316,973,†,†,†,526,447,2,19,93,69,745,0,45,973,14.90
JEFFERSON PARKWAY ELEMENTARY SCHOOL,Georgia,Jefferson Parkway Elementary School,Coweta County,30263,1-Regular school,2-No,33.399300,-84.772500,Elementary,Prekindergarten,5th Grade,456,358,198,42,400,363,†,28,65,215,241,2,9,101,267,54,0,23,456,10.36
JEFFERSONVILLE ELEMENTARY,Georgia,Jeffersonville Elementary,Twiggs County,31044,1-Regular school,2-No,32.685000,-83.362300,Elementary,Prekindergarten,5th Grade,352,337,299,0,337,261,†,40,51,178,174,0,3,9,212,117,1,10,352,15.30
