School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
KIPP SOUL ACADEMY,GEORGIA,KIPP Soul Academy,Fulton County,30331,1-Regular school,1-Yes,33.793978,-84.498402,Middle,5th Grade,8th Grade,344,326,142,0,326,344,†,†,†,169,175,0,0,3,338,1,1,1,344,9.69
KIPP SOUL PRIMARY,GEORGIA,KIPP Soul Primary,Fulton County,30331,1-Regular school,1-Yes,33.793978,-84.498402,Elementary,Kindergarten,4th Grade,410,389,186,0,389,346,†,†,64,208,202,1,0,5,401,0,0,3,410,15.19
KIPP SOUTH FULTON ACADEMY SCHOOL,Georgia,KIPP South Fulton Academy School,Fulton County,30344,1-Regular school,1-Yes,33.675600,-84.431100,Middle,5th Grade,8th Grade,380,185,69,36,221,380,†,†,†,177,203,0,0,43,329,3,0,5,380,12.67
KIPP STRIVE CHARTER SCHOOL,Georgia,Kipp Strive Charter School,Fulton County,30310,1-Regular school,1-Yes,33.742100,-84.434800,Middle,5th Grade,8th Grade,406,301,147,0,301,406,†,†,†,192,214,0,0,5,395,1,0,5,406,14.50
KIPP STRIVE PRIMARY CHARTER SCHOOL,Georgia,KIPP Strive Primary Charter School,Fulton County,30310,1-Regular school,1-Yes,33.742100,-84.434700,Elementary,Kindergarten,4th Grade,521,424,207,0,424,412,†,†,109,269,252,1,0,5,498,12,0,5,521,17.25
KIPP VISION CHARTER SCHOOL,Georgia,KIPP VISION Charter School,Fulton County,30315,1-Regular school,1-Yes,33.689136,-84.366830,Middle,5th Grade,8th Grade,403,342,166,0,342,403,†,†,†,197,206,0,0,20,380,0,0,3,403,12.14
KIPP VISION PRIMARY CHARTER SCHOOL,Georgia,KIPP Vision Primary Charter School,Fulton County,30315,1-Regular school,1-Yes,33.689136,-84.366830,Elementary,Kindergarten,4th Grade,479,418,217,0,418,393,†,†,86,234,245,0,1,17,456,0,0,5,479,14.52
KIPP WAYS ACADEMY CHARTER SCHOOL,Georgia,KIPP WAYS Academy Charter School,Fulton County,30314,1-Regular school,1-Yes,33.764520,-84.422721,Middle,5th Grade,8th Grade,395,370,182,0,370,395,†,†,†,205,190,1,0,2,388,1,1,2,395,12.74
KIPP WAYS PRIMARY CHARTER SCHOOL,GEORGIA,Kipp WAYS Primary Charter School,Fulton County,30314,1-Regular school,1-Yes,33.764520,-84.422721,Elementary,Kindergarten,4th Grade,484,481,228,0,481,382,†,†,102,243,241,1,0,8,470,2,0,3,484,15.37
KITTREDGE MAGNET SCHOOL,Georgia,Kittredge Magnet School,DeKalb County,30329,1-Regular school,2-No,33.826636,-84.327816,Middle,4th Grade,6th Grade,551,38,13,7,45,551,†,†,†,298,253,6,134,28,58,290,2,33,551,15.52
